,plant_name,scan_nb,image_nb,voxel_size,session,pathname
46,4-qi-11,living,757,0.00700509,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/4_Qi_11/slice00757.tif
47,4-qp-07,living,765,0.00799022,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/4_Qp_07/slice00765.tif
48,4-qp-08,living,750,0.00798988,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/4_Qp_08/slice00750.tif
49,4-qp-09,living,715,0.00799029,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/4_Qp_09/slice00715.tif
50,4-qp-10,living,754,0.00799016,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/4_Qp_10/slice00754.tif
51,4-qp-11,living,762,0.00798998,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/4_Qp_11/slice00762.tif
52,4-qp-12,living,749,0.00799014,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/4_Qp_12/slice00749.tif
53,5-fs-07,living,760,0.00700508,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Fs_07/slice00760.tif
54,5-fs-09,living,751,0.00700564,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Fs_09/slice00751.tif
55,5-fs-10,living,769,0.00700544,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Fs_10/slice00769.tif
56,5-qi-07,living,1155,0.00700497,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qi_07/slice01155.tif
57,5-qi-08,living,874,0.00700528,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qi_08/slice00874.tif
58,5-qi-09,living,753,0.00700502,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qi_09/slice00753.tif
59,5-qi-10,living,762,0.00700502,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qi_10/slice00762.tif
60,5-qi-11,living,738,0.00700516,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qi_11/SlicesY/slice00738.tif
61,5-qi-12,living,768,0.00700509,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qi_12/slice00768.tif
62,5-qp-07,living,759,0.00799003,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qp_07/slice00759.tif
63,5-qp-08,living,747,0.00799002,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qp_08/slice00747.tif
64,5-qp-09,living,355,0.00799042,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qp_09/slice00355.tif
65,5-qp-10,living,758,0.00799015,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qp_10/slice00758.tif
66,5-qp-11,living,748,0.00799003,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qp_11/slice00748.tif
67,5-qp-12,living,761,0.00798999,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/5_Qp_12/slice00761.tif
68,6-fs-07,living,742,0.00700527,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Fs_07/slice00742.tif
69,6-fs-08,living,759,0.00700511,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Fs_08/slice00759.tif
70,6-fs-09,living,743,0.00700586,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Fs_09/slice00743.tif
71,6-fs-10,living,818,0.00700545,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Fs_10/slice00818.tif
72,6-fs-11,living,764,0.00700553,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Fs_11/slice00764.tif
73,6-fs-12,living,796,0.00700345,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Fs_12/slice00796.tif
74,6-qi-08,living,820,0.00700505,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Qi_08/slice00820.tif
75,6-qi-12,living,721,0.00700514,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Qi_12/slice00721.tif
76,6-qp-07,living,751,0.00799043,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Qp_07/slice00751.tif
77,6-qp-09,living,763,0.00700517,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Qp_09/slice00763.tif
78,6-qp-10,living,789,0.00798802,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Qp_10/slice00789.tif
79,6-qp-12,living,766,0.00799008,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/6_Qp_12/slice00766.tif
80,1-fs-08,flushed,311,0.00450003,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1-fs-08/slice00311.tif
81,1-fs-09,flushed,721,0.00449999,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1_Fs_09/slice00721.tif
82,1-fs-10,flushed,718,0.00388889,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1_Fs_10/slice00718.tif
83,1-fs-11,flushed,760,0.00449998,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1_Fs_11/slice00760.tif
84,1-fs-12,flushed,172,0.00449998,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1_Fs_12/slice00172.tif
85,1-qi-11,flushed,718,0.0045,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1_Qi_11/slice00718.tif
86,1-qp-07,flushed,761,0.00449999,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1_Qp_07/slice00761.tif
87,1-qp-08,flushed,752,0.00450002,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1-qp-08/slice00752.tif
88,1-qp-09,flushed,778,0.00388898,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1_Qp_09/slice00778.tif
89,1-qp-10,flushed,762,0.00450002,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/1_Qp_10/slice00762.tif
90,1-qp-11,flushed,786,0.00367323,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1_Qp_11/slice00786.tif
91,1-qp-12,flushed,746,0.00367317,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/1_Qp_12/slice00746.tif
92,2-fs-07,flushed,744,0.00449991,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Fs_07_dry/slice00744.tif
93,2-fs-08,flushed,751,0.004500100000000001,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Fs_08/slice00751.tif
94,2-fs-09,flushed,708,0.00395315,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Fs_09/slice00708.tif
95,2-fs-10,flushed,760,0.00450025,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Fs_10/slice00760.tif
96,2-fs-11,flushed,1144,0.00449992,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Fs_11/slice01144.tif
97,2-qi-07,flushed,1252,0.00700672,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Qi_07_dry/slice01252.tif
98,2-qi-09,flushed,795,0.00450002,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Qi_09/slice00795.tif
99,2-qi-11,flushed,777,0.00449998,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Qi_11/slice00777.tif
100,2-qp-08,flushed,760,0.00450002,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Qp_08/slice00760.tif
101,2-qp-09,flushed,918,0.0039533,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Qp_09/slice00918.tif
102,2-qp-10,flushed,748,0.00450001,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Qp_10_dry/slice00748.tif
103,2-qp-12,flushed,760,0.00449998,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/2_Qp_12/slice00760.tif
104,3-fs-07,flushed,959,0.0036732,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Fs_07/slice00959.tif
105,3-fs-08,flushed,783,0.00450017,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Fs_08/slice00783.tif
106,3-fs-10,flushed,749,0.00388887,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Fs_10/slice00749.tif
107,3-fs-11,flushed,1000,0.00388897,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Fs_11/slice01000.tif
108,3-fs-12,flushed,769,0.00450009,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Fs_12/slice00769.tif
109,3-qi-07,flushed,763,0.00449995,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Qi_07_dry/slice00763.tif
110,3-qi-08,flushed,758,0.00449998,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Qi_08_dry/slice00758.tif
111,3-qi-09,flushed,800,0.00449999,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Qi_09/slice00800.tif
112,3-qi-10,flushed,799,0.00450002,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3-qi-10/slice00799.tif
113,3-qi-11,flushed,832,0.00449998,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Qi_11/slice00832.tif
114,3-qi-12,flushed,788,0.00450012,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Qi_12/slice00788.tif
115,3-qp-09,flushed,747,0.00700689,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Qp_09_dry/slice00747.tif
116,3-qp-10,flushed,715,0.00700682,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Qp_10_dry/slice00715.tif
117,3-qp-11,flushed,871,0.00449993,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/3_Qp_11/slice00871.tif
118,4-fs-07,flushed,780,0.00388895,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Fs_07/slice00780.tif
119,4-fs-08,flushed,940,0.0038889,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4-fs-08/slice00940.tif
120,4-fs-09,flushed,796,0.00388899,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/4-fs-09/slice00796.tif
121,4-fs-10,flushed,714,0.00450014,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4-fs-10/slice00714.tif
122,4-fs-11,flushed,768,0.00450012,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Fs_11/slice00768.tif
123,4-fs-12,flushed,839,0.0045,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Fs_12/slice00839.tif
124,4-qi-07,flushed,752,0.0045,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Qi_07_dry/slice00752.tif
125,4-qi-09,flushed,729,0.00450015,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Qi_09/slice00729.tif
126,4-qi-11,flushed,768,0.00450025,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Qi_11/slice00768.tif
127,4-qp-07,flushed,766,0.00449983,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4-qp-07/slice00766.tif
128,4-qp-08,flushed,775,0.00450004,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Qp_08/slice00775.tif
129,4-qp-09,flushed,771,0.00450022,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Qp_09/slice00771.tif
130,4-qp-10,flushed,762,0.00449998,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Qp_10/slice00762.tif
131,4-qp-11,flushed,797,0.00450002,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Qp_11/slice00797.tif
132,4-qp-12,flushed,753,0.00449999,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/4_Qp_12/slice00753.tif
133,5-fs-07,flushed,762,0.0038889,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Fs_07/slice00762.tif
134,5-fs-09,flushed,306,0.00450003,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Fs_09/slice00306.tif
135,5-fs-10,flushed,746,0.00449996,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Fs_10_dry/slice00746.tif
136,5-qi-07,flushed,743,0.00450006,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5-qi-07/slice00743.tif
