plant_name,chamber,species,rep,scan_nb,roi_surf,eq_diam_roi,air_surf,emb_vess_nb,mean_diam,std_diam,pourc_emb,coeff,coeff_diam,PLA,PLA_diam,ratio_l_f,image_nb,diam_roi,max_embolism,voxel_size,Q,used,comment
6-qi-08,6,qi,08,1,5.55422,2.6593,0.0087836607,55,0.01342688,0.004846223564736506,0.1581439103960592,1.2693474112417582,0.7125264406729191,6.977510766926005,12.43025482751835,8.85688522890902,820,380,21500,0.00700505,2,1,
6-qi-12,6,qi,12,1,4.6876,2.44304,0.033467104000000004,133,0.01693410112781955,0.005820596405530816,0.7139496544073728,1.3804070310176364,0.8977993445115247,20.663022674415767,31.770330370824,28.523381781840367,721,350,22100,0.00700514,1.5,1,
6-qp-07,6,qp,07,1,12.7292,4.02583,0.312658674,559,0.02324220846153846,0.01312454840856455,2.4562319234515915,1.3741301846178426,1.393872002667672,23.00895420618323,22.68307163835349,31.617298491206046,751,510,22000,0.00799043,1,1,looks nice
6-qp-09,6,qp,09,1,15.2455,4.40581,0.293011274,433,0.026221186789838338,0.01320810374571545,1.9219525368141417,1.319100151416829,1.8469605040368777,20.230382566027018,14.448549737657945,26.68590070606662,763,635,22100,0.00700517,1,1,looks nice
6-qp-10,6,qp,10,1,13.2254,4.10355,0.3246574025,456,0.0273292513377193,0.012647863319925248,2.4548021420902204,1.5415854129050983,1.7660258509671327,18.880870755791115,16.48134138247999,29.106474940074044,789,520,22000,0.00798802,1,1,
6-qp-12,6,qp,12,1,15.3002,4.41371,0.4207784764,821,0.023023114177831913,0.011074557701012679,2.7501501705860054,1.291875643818498,1.4646858752671528,26.01208811051208,22.943064886661784,33.60438307483129,766,560,22100,0.00799008,1,1,looks nice
1-fs-08,1,fs,08,2,4.28872,2.33679,0.4359275701,1853,0.015741235159201294,0.007195663410446045,10.16451458943461,1.7124853103023747,1.2016718500496602,15.488072606757825,22.071830028200537,26.523096823969382,311,545,22500,0.00450003,1,1,
1-fs-09,1,fs,09,2,8.65459,3.31954,1.3014006847,2414,0.024563849701739852,0.009113857119575087,15.037115388481718,1.367794430469843,0.9073826749219529,13.878453056968096,20.920468639640834,18.98287079485813,721,790,23000,0.00449999,1,1,slightly damaged structure
1-fs-10,1,fs,10,2,6.67435,2.91514,1.2523589826,2491,0.02253728207948615,0.011499969716618751,18.76375950616914,1.542127697828253,0.9070604150350904,6.652332314602357,11.309881621401546,10.258745917506227,718,NA,23200,0.00388889,1,1,slightly damaged structure
1-fs-11,1,fs,11,2,6.00427,2.76494,0.7370731589,2075,0.019239399079518073,0.009064215886524058,12.275816359024494,1.4677937534454646,0.8150457098428301,5.95985733456041,10.73294572494689,8.747841367093907,760,650,23200,0.00449998,1,1,structure is slightly damaged but segm adapted.
1-fs-12,1,fs,12,2,10.6345,3.67971,1.7045893665,2786,0.025477341468054557,0.011400510331920716,16.02886234895858,1.5218298932718983,0.792161464162448,3.7529115003477194,7.209758573741778,5.71129290803305,172,880,23300,0.00449998,1,1,structure is damaged but segm adapted.
1-qi-11,1,qi,11,2,4.30434,2.34104,0.301563,889,0.017093138661417324,0.01182730035085341,7.0060218291305985,1.644872384616457,1.1033556443597,9.03257509696414,13.465679370854813,14.85743333897063,718,NA,23000,0.0045,1.5,1,vessels in the middle of the slice but corrected
1-qp-07,1,qp,07,2,6.98083,2.98132,0.6334978368999999,1713,0.0174129402510216,0.012952005027407178,9.074821144477088,1.377181509935065,1.0384406619830564,10.37607607103802,13.760767113476525,14.289740110713234,761,NA,23300,0.00449999,1.5,1,
1-qp-08,1,qp,08,2,10.625,3.67806,0.5023662993,1453,0.01748627470061941,0.01159905115621588,4.72815340517647,1.1542023529411765,0.9799136267802384,3.952733116620218,4.655771426245024,4.562253863751565,752,NA,22800,0.00450002,1,1,Looks nice
