plant_name,chamber,species,rep,scan_nb,roi_surf,eq_diam_roi,air_surf,emb_vess_nb,mean_diam,std_diam,pourc_emb,coeff,coeff_diam,PLA,PLA_diam,ratio_l_f,image_nb,diam_roi,max_embolism,voxel_size,Q,used,comment
3-fs-17,3,fs,17,1,27.3279,5.89873,0.32439018470000003,904,0.01992968509955752,0.007730559331136219,1.1870293169251938,1.0390322911795233,0.8273003038126582,17.925320265267843,22.512969594612418,18.624986585347987,791,980,23000,0.00605496,1,1,
3-fs-18,3,fs,18,1,23.0229,5.41421,0.40976668439999997,965,0.021922421606217615,0.007753965506963082,1.7798221961612133,1.0586020121020396,0.8270990102784542,21.849062115587852,27.964561474105615,23.129461118103745,795,850,23000,0.00642609,1,1,
3-qi-13,3,qi,13,1,3.72548,2.17794,0.0332214549,137,0.015592095474452556,0.008131415084634622,0.8917362299623137,0.9825433120498356,0.9756109361353806,25.596341957094452,25.7782212881979,25.149514602883755,788,380,23000,0.00575805,2.5,1,
3-qi-14,3,qi,14,1,10.6262,3.67828,0.0362315171,148,0.016510807972972972,0.006273587519682683,0.3409640050064933,1.0117974158041572,0.9495876944321869,14.473921744079416,15.422142370924515,14.644676617211152,770,640,22500,0.00575749,1,1,
3-qi-15,3,qi,15,1,4.54705,2.40613,0.0382178391,141,0.017196712765957446,0.0070523366501318565,0.8404974455965957,1.0381368992308235,1.244685118909852,35.42860281398188,29.54943327481961,36.77973986938758,944,440,22500,0.00549218,1.5,1,
3-qi-16,3,qi,16,1,5.30783,2.59964,0.0417095151,140,0.018201149642857142,0.006956589600578805,0.7858110583797898,1.0736097542228722,1.0788395598485638,28.394185307648716,28.256541050258196,30.484274309503427,760,430,22500,0.00607008,2,1,
3-qi-17,3,qi,17,1,4.19177,2.31022,0.0411825172,119,0.019577740420168067,0.007604627434257938,0.9824612800797753,1.0191960747127276,1.3234930737120152,32.321985547091586,24.890527537196128,32.94244079651726,791,350,23000,0.00663313,1.5,1,
3-qi-18,3,qi,18,1,4.14495,2.29728,0.0166076828,98,0.013469887653061225,0.005889570716861718,0.40067269327736166,0.9920467763475962,1.6005089807195343,19.053985425536133,11.810271011087552,18.9024448179772,806,370,23500,0.00622194,2,1,
3-qp-13,3,qp,13,1,11.213,3.77846,0.5070946508,437,0.03493647661327231,0.016046738119873158,4.522381617765095,1.0315452479737997,1.395879374160639,51.466703210597245,38.03353936488484,53.09023312576948,796,620,23000,0.00623074,1,1,
3-qp-14,3,qp,14,1,10.1674,3.59799,0.09749744939999999,233,0.02115890712446352,0.009243722900417663,0.9589221374195958,0.9600581658860855,0.9318946875732552,17.466328102231426,17.994190916851565,16.768690922592896,899,NA,22500,0.00880002,1.5,1,
