"slice00748.Label-Analysis"
"Area","BaryCenterX","BaryCenterY","Mean","EqDiameter","index","Materials"
20.5938,3.82789,3.79124,1,5.12063,1,"ROI"
0.588419,3.80362,3.64811,2,0.865562,2,"Embolism"
