"slice00741.Label-Analysis"
"Area","BaryCenterX","BaryCenterY","Mean","EqDiameter","index","Materials"
18.5095,3.18844,3.26401,1,4.85459,1,"ROI"
1.12445,3.27346,3.26795,2,1.19653,2,"Embolism"
