"slice00718.Label-Analysis"
"Area","BaryCenterX","BaryCenterY","Mean","EqDiameter","index","Materials"
4.30434,1.65473,1.70194,1,2.34104,1,"ROI"
0.301563,1.63839,1.69747,2,0.619647,2,"Embolism"
