"slice00751.Label-Analysis"
"Area","BaryCenterX","BaryCenterY","Mean","EqDiameter","index","Materials"
7.08009,2.18575,1.89811,1,3.00244,1,"ROI"
0.0448045,2.16797,1.94792,2,0.238845,2,"Embolism"
