"slice00750.Label-Analysis"
"Area","BaryCenterX","BaryCenterY","Mean","EqDiameter","index","Materials"
7.34437,1.98915,2.41924,1,3.05796,1,"ROI"
0.115622,2.01312,2.26486,2,0.383685,2,"Embolism"
